,4/5/2020 08:43,"""สุชาติ​​"" ชงรัฐบาลเปิดโรงเรียน ชี้โควิดระบาดต่ำมาก "
,4/5/2020 08:43,"แค่นี้ยังวุ่นวาย จะทำประชาชนซวยอีก แบบนี้หรอที่จะมาเป็นรัฐบาล แจกเงินไม่กี่พันคนยังวุ่นได้ขนาดนี้ แต่ละคนฉลาดกันจริง ๆ

#คณะขอทาน #คณะก้าวหน้าขอทาน #คณะกาวหนาหน้าด้าน #คณะก้าวหน้า "
,4/5/2020 08:42,ขวิตไม่ได้เหรอ. รัฐบาลกินเงินภาษีประชาชนเจ้าของประเทศ. จ้างหมาเฝ้ายามมึง. ดังนั้นมึงก็รับเงินจากภาษีประชาชนเหมือนมัน 
,4/5/2020 08:42,"เสรีหอบเงินล้าน
เอาเงินเดือนตัวเองแจกชาวบ้าน
มีพรรคร่วมรัฐบาลหรือสว.คนไหน
กล้าทำบ้างมั้ยค่ะ"
,4/5/2020 08:42,@WolfBlo66112609 @WasanaWW เฟคนิวเยอะ ใครๆก็ทำข้อมูลปลอมโพสลวเวปได้คะ..Google เชื่อไม่ได้ร้อย% ปัญญาชนก่อนจะเชื่ออะไร ต้องหาจากแหล่งที่เชื่อถือได้ ไม่ใช้ใครจะเอาอะไรมายัดลงสมองก็ต้องเชื่อเขาทั้งหมด เรากลัวข่าวปลอมช่วยอนุเคราะห์ข้อเท็จจริงของรัฐบาลให้เราที เผื่อเราจะตาสว่าง
,4/5/2020 08:41,"ประวัติศาสตร์อันมั่วซั่วของคิลมอร์วิลเลจถูกเล่าอย่างผิดๆถูกๆจากคนรุ่นแล้วรุ่นเล่า
กาลเวลาผ่านไปจนถึงยุคปัจจุบัน พวกเขาต่างก็เพิ่งตระหนักถึงความอิกนอแร๊นท์อันสมบูรณ์แบบที่ได้รับจากรัฐบาล

อุ๊ปส์

⇒"
,4/5/2020 08:40,@Oxidane13 เห็นด้วย รัฐบาลทำงานวันต่อวันจริงๆ ร้านค้าก็ถาม เราก็ตอบไม่ได้ จะแจ้งจะทำประกาศอะไรก็ทำล่วงหน้าไม่ได้ ไหนจะเวลาที่ต้องใช้ผลิตงานอีก รัฐควรคิดล่วงหน้ามั้ย ประกาศล่วงหน้ามั้ย ไม่ใช่มาทำอะไรวันต่อวันแบบนี้
,4/5/2020 08:39,"บทความจาก The Atlantic เรื่อง ทำไมจึงควรพูดถึง COVID-19 ในกรอบของการเมือง 

ที่ผ่านมาจะมีคนบอกว่า - ไม่ใช่เวลาพูดเรื่องความเหลื่อมล้ำ - ไม่ใช่เวลาตรวจสอบรัฐบาล - แต่จริงๆ แล้ว COVID-19 นี่แหละ ที่เผยว่ารัฐบาลทำงานอย่างไร, และคิดอย่างไรกับประชาชน

"
,4/5/2020 08:39,ดิชั้นเหนื่อยที่จะด่ารัฐบาลแล้วค่ะ ดิชั้นขอพัก
,4/5/2020 08:39,จีนเหมือนรัฐบาลไทยเลยอะ ทำไรเหี้ยๆแทนที่จะทำให้เนียน ชอบทำให้คนด่า เห้อ
